"","Adipocytes","B-cells","CD4+ T-cells","CD8+ T-cells","Endothelial cells","Fibroblasts","HSC","Macrophages","Monocytes","Myocytes","Neutrophils","NK cells","Skeletal muscle"
"Adipocytes",1,0.910369821631636,0.949684405696769,0.925639103853709,0.930097895090466,0.970761485918894,0.895989133409996,0.763103122375076,0.826239045943259,0.969717379876753,0.540547387377295,0.880767917529403,0.96182393368715
"B-cells",0.910369821631636,1,0.839562523393627,0.822598924383104,0.832477590585376,0.859240911092778,0.807326974293548,0.658832150895506,0.727536137311043,0.929706350383668,0.449877068242089,0.79665944581474,0.933655352114573
"CD4+ T-cells",0.949684405696769,0.839562523393627,1,0.951445362837787,0.823810202599641,0.902030174342041,0.889924185483852,0.617952293464565,0.706855683725722,0.942154285581957,0.476860291821552,0.880689112306872,0.924425271276965
"CD8+ T-cells",0.925639103853709,0.822598924383104,0.951445362837787,1,0.81015528346615,0.884778643792628,0.883271755669801,0.613479540322175,0.709021859034178,0.909122979168646,0.487824754733932,0.961575458083021,0.892062684743718
"Endothelial cells",0.930097895090466,0.832477590585376,0.823810202599641,0.81015528346615,1,0.921886346453868,0.827359323150745,0.784150182432966,0.839978504987052,0.87018391095144,0.554337925293479,0.788233482245761,0.866331809741432
"Fibroblasts",0.970761485918894,0.859240911092778,0.902030174342041,0.884778643792628,0.921886346453868,1,0.881655944644039,0.855092804258073,0.884324979100535,0.923549655048961,0.595637062866746,0.8523003364672,0.914486406986667
"HSC",0.895989133409996,0.807326974293548,0.889924185483852,0.883271755669801,0.827359323150745,0.881655944644039,1,0.648365408589854,0.744293637911285,0.865292919247156,0.511208644584765,0.882121777852351,0.854113163391642
"Macrophages",0.763103122375076,0.658832150895506,0.617952293464565,0.613479540322175,0.784150182432966,0.855092804258073,0.648365408589854,1,0.887153786943173,0.698716669852974,0.556463672338329,0.614094380806348,0.699103207180637
"Monocytes",0.826239045943259,0.727536137311043,0.706855683725722,0.709021859034178,0.839978504987052,0.884324979100535,0.744293637911285,0.887153786943173,1,0.765519546717217,0.738364894089882,0.716082895076425,0.766736007519549
"Myocytes",0.969717379876753,0.929706350383668,0.942154285581957,0.909122979168646,0.87018391095144,0.923549655048961,0.865292919247156,0.698716669852974,0.765519546717217,1,0.485348437643555,0.860194776977655,0.987020938854137
"Neutrophils",0.540547387377295,0.449877068242089,0.476860291821552,0.487824754733932,0.554337925293479,0.595637062866746,0.511208644584765,0.556463672338329,0.738364894089882,0.485348437643555,1,0.499714336244158,0.480386371585117
"NK cells",0.880767917529403,0.79665944581474,0.880689112306872,0.961575458083021,0.788233482245761,0.8523003364672,0.882121777852351,0.614094380806348,0.716082895076425,0.860194776977655,0.499714336244158,1,0.845723661990195
"Skeletal muscle",0.96182393368715,0.933655352114573,0.924425271276965,0.892062684743718,0.866331809741432,0.914486406986667,0.854113163391642,0.699103207180637,0.766736007519549,0.987020938854137,0.480386371585117,0.845723661990195,1
